[extract] GET https://apidadosabertos.saude.gov.br/vacinacao/doses-aplicadas-pni-2024 | {'offset': 161, 'limit': 1000}
[extract] year=2024 page=161 records=1,000
[extract] GET https://apidadosabertos.saude.gov.br/vacinacao/doses-aplicadas-pni-2024 | {'offset': 162, 'limit': 1000}
[extract] year=2024 page=162 records=1,000
[extract] GET https://apidadosabertos.saude.gov.br/vacinacao/doses-aplicadas-pni-2024 | {'offset': 163, 'limit': 1000}
[extract] year=2024 page=163 records=1,000
[extract] GET https://apidadosabertos.saude.gov.br/vacinacao/doses-aplicadas-pni-2024 | {'offset': 164, 'limit': 1000}
[extract] year=2024 page=164 records=1,000
[extract] GET https://apidadosabertos.saude.gov.br/vacinacao/doses-aplicadas-pni-2024 | {'offset': 165, 'limit': 1000}
[extract] year=2024 page=165 records=1,000
[extract] GET https://apidadosabertos.saude.gov.br/vacinacao/doses-aplicadas-pni-2024 | {'offset': 166, 'limit': 1000}
[extract] year=2024 page=166 records=1,000
[extract] GET https://apidadosabertos.saude.gov.br/vacinacao/doses-aplicadas-pni-2024 | {'offset': 167, 'limit': 1000}
[extract] year=2024 page=167 records=1,000
